city1,city2,actual_fare,predicted_fare,pct_diff,suggested_alternatives
"Albany, NY","Denver, CO",316.06,253.71049851179123,0.24575057734676703,"Miami, FL (Metropolitan Area);Miami, FL (Metropolitan Area);Tampa, FL (Metropolitan Area)"
"Amarillo, TX","Dallas/Fort Worth, TX",195.29,165.9910225868225,0.1765094097052899,
"Asheville, NC","Miami, FL (Metropolitan Area)",165.04,137.91702994704247,0.19666150049324754,"Denver, CO;Sanford, FL;Sanford, FL"
"Aspen, CO","Los Angeles, CA (Metropolitan Area)",373.18,310.7189686894417,0.2010209790989203,"New York City, NY (Metropolitan Area);New York City, NY (Metropolitan Area);New York City, NY (Metropolitan Area)"
"Aspen, CO","New York City, NY (Metropolitan Area)",641.73,520.752489566803,0.23231287964428993,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Aspen, CO","New York City, NY (Metropolitan Area)",633.77,545.4533323645592,0.1619142507619946,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area)"
"Atlanta, GA (Metropolitan Area)","Austin, TX",275.09,239.03307259082794,0.15084493128234838,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Nashville, TN",242.16,206.67476856708527,0.17169600178551286,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Salt Lake City, UT",428.62,361.31602451205254,0.186274537861529,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Hartford, CT",303.19,230.12872830033302,0.31748001320511904,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Charleston, SC",312.46,248.96662324666977,0.2550276656579087,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Sacramento, CA",412.5,353.2677209973335,0.16766966094565305,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",255.13,211.9871084690094,0.20351658099670575,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",270.54,227.91364991664886,0.18702850881875743,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Atlanta, GA (Metropolitan Area)","Salt Lake City, UT",379.65,308.16375374794006,0.23197486849972462,"Trenton, NJ;Seattle, WA;Trenton, NJ"
"Austin, TX","San Francisco, CA (Metropolitan Area)",307.13,266.26190090179443,0.15348834722425786,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","Washington, DC (Metropolitan Area)",341.49,293.3016144633293,0.16429635283407398,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","Tampa, FL (Metropolitan Area)",274.32,227.8374810218811,0.20401612048043488,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","Detroit, MI",326.24,280.3567051291466,0.1636604155756405,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","Cleveland, OH (Metropolitan Area)",231.72,201.0337329506874,0.1526423779676806,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","Detroit, MI",309.87,269.39660735428333,0.15023720247705322,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","San Francisco, CA (Metropolitan Area)",326.54,283.5120711326599,0.15176753742949675,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Austin, TX","Detroit, MI",303.22,257.1980135142803,0.17893601065143702,"Boston, MA (Metropolitan Area);Boston, MA (Metropolitan Area);Seattle, WA"
"Bismarck/Mandan, ND","Phoenix, AZ",184.74,159.2114831507206,0.16034343970724999,
"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",191.75,164.65568417310715,0.16455135431831092,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",299.91,236.81938618421555,0.26640814686812825,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Kansas City, MO",319.69,276.6995186805725,0.15536883303746027,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",273.19,236.6902688741684,0.15420883714165684,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Milwaukee, WI",220.35,180.25172114372253,0.2224571205303796,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Grand Rapids, MI",211.95,175.945945084095,0.20463134230627772,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Minneapolis/St. Paul, MN",258.58,223.45833230018616,0.1571732292919496,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",206.09,176.72587728500366,0.16615632733649516,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Salt Lake City, UT",397.37,335.07841773331165,0.18590150534931235,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Milwaukee, WI",218.6,182.7125597000122,0.1964147421442172,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Bozeman, MT",380.96,321.5328367203474,0.18482455442440313,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Salt Lake City, UT",404.41,343.5971152037382,0.17698892716314688,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Myrtle Beach, SC",171.41,134.66027623414993,0.2729069388061326,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Denver, CO",328.6,283.1886033117771,0.16035743019724255,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Salt Lake City, UT",365.62,302.8467181324959,0.20727740506681244,"Seattle, WA;Seattle, WA;Seattle, WA"
"Boston, MA (Metropolitan Area)","Bozeman, MT",336.19,292.30899526178837,0.15011855758633885,"Seattle, WA;Seattle, WA;Seattle, WA"
"Bozeman, MT","New York City, NY (Metropolitan Area)",390.82,336.2900474816561,0.16215155020702304,"Washington, DC (Metropolitan Area);Washington, DC (Metropolitan Area);Phoenix, AZ"
"Buffalo, NY","New York City, NY (Metropolitan Area)",193.72,162.50519639253616,0.19208495666848427,"Los Angeles, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Cedar Rapids/Iowa City, IA","Denver, CO",185.97,156.16916352510452,0.19082407693183892,"Punta Gorda, FL;Punta Gorda, FL;Tampa, FL (Metropolitan Area)"
"Charlotte, NC","West Palm Beach/Palm Beach, FL",326.99,272.47107833623886,0.20009067383101442,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Charlotte, NC","Denver, CO",271.19,232.57063414156437,0.16605435162088542,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Charlotte, NC","Houston, TX",272.75,234.30848598480225,0.16406368661223458,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Charlotte, NC","Tampa, FL (Metropolitan Area)",251.74,203.19837230443954,0.23888787663531846,"Las Vegas, NV;San Francisco, CA (Metropolitan Area);Sacramento, CA"
"Chicago, IL","Salt Lake City, UT",333.33,286.08768850564957,0.16513227724379162,"Seattle, WA;Los Angeles, CA (Metropolitan Area);San Francisco, CA (Metropolitan Area)"
