city1,city2,median_pred,median_dist,n,pred_per_mile
"New Haven, CT","Tampa, FL (Metropolitan Area)",107.92502927035093,1067.0,9,0.1011481061577797
"Fort Myers, FL","Seattle, WA",266.0314125753939,2623.0,2,0.10142257437109947
"Fort Myers, FL","New Haven, CT",115.5928865969181,1134.0,7,0.10193376243114471
"Minneapolis/St. Paul, MN","Punta Gorda, FL",142.8201708868146,1386.0,2,0.10304485633969307
"Fort Myers, FL","Trenton, NJ",106.0381261408329,1028.0,1,0.10314992815256119
"New Haven, CT","West Palm Beach/Palm Beach, FL",112.5199721083045,1086.0,8,0.10360955074429512
"Hartford, CT","Las Vegas, NV",246.29260098561645,2297.0,14,0.10722359642386436
"Miami, FL (Metropolitan Area)","New Haven, CT",120.79762094467878,1126.0,12,0.10728030279278755
"Cedar Rapids/Iowa City, IA","Punta Gorda, FL",126.3238313421607,1170.0,2,0.10796908661723137
"Bangor, ME","Tampa, FL (Metropolitan Area)",150.51044908165932,1394.0,1,0.10797019302845001
"Atlantic City, NJ","Miami, FL (Metropolitan Area)",108.28135308623314,998.0,14,0.10849834978580475
"New Haven, CT","Sarasota/Bradenton, FL",119.87541260570288,1102.0,2,0.10877986624836922
"New Haven, CT","Orlando, FL",109.39538296312094,1005.0,13,0.1088511273264885
"Peoria, IL","Punta Gorda, FL",114.03716217726469,1045.0,1,0.10912647098302841
"Tampa, FL (Metropolitan Area)","Trenton, NJ",104.90387242287397,955.0,5,0.10984698683023453
"Trenton, NJ","West Palm Beach/Palm Beach, FL",110.46890076249838,985.0,3,0.11215116828680038
"Allentown/Bethlehem/Easton, PA","Sanford, FL",100.04428160190582,882.0,14,0.11342889070510864
"Bellingham, WA","Las Vegas, NV",108.34123545885086,954.0,12,0.11356523633003235
"Orlando, FL","Trenton, NJ",101.81709671020508,896.0,9,0.11363515257835388
"Cleveland, OH (Metropolitan Area)","Las Vegas, NV",209.82118118554354,1846.0,14,0.11366261169314384
"Atlantic City, NJ","West Palm Beach/Palm Beach, FL",107.79136008024216,936.0,3,0.1151617094874382
"Flint, MI","Sarasota/Bradenton, FL",123.99975685402751,1075.0,4,0.11534861102700233
"Atlantic City, NJ","Fort Myers, FL",114.25582326203585,982.0,8,0.11635012552142143
"Flint, MI","Tampa, FL (Metropolitan Area)",123.46067428588867,1040.0,4,0.11871218681335449
"Punta Gorda, FL","South Bend, IN",124.54304273426533,1049.0,1,0.1187254935503006
"Peoria, IL","Phoenix, AZ",157.84983251988888,1326.0,1,0.11904210597276688
"Appleton, WI","Punta Gorda, FL",149.58659186959267,1250.0,1,0.11966927349567413
"Atlantic City, NJ","Orlando, FL",102.17051048576832,852.0,14,0.11991843953728676
"Cincinnati, OH","Punta Gorda, FL",102.05443613231182,850.0,5,0.12006404250860214
"Miami, FL (Metropolitan Area)","Portland, OR",327.3444324731827,2700.0,14,0.12123867869377136
"Miami, FL (Metropolitan Area)","Seattle, WA",330.83556255698204,2724.0,14,0.12145211547613144
"Las Vegas, NV","Orlando, FL",247.82647605985403,2039.0,14,0.12154314666986465
"Fort Wayne, IN","Punta Gorda, FL",120.40045069903135,986.0,4,0.12210999056696892
"New York City, NY (Metropolitan Area)","Sacramento, CA",311.86365396156907,2553.0,14,0.12215575948357582
"Orlando, FL","Portland, OR",310.4562394618988,2534.0,14,0.12251627445220947
"Las Vegas, NV","Miami, FL (Metropolitan Area)",266.65440890192986,2174.0,14,0.12265612185001373
"Des Moines, IA","Punta Gorda, FL",148.82606407999992,1206.0,2,0.12340469658374786
"Grand Rapids, MI","Sanford, FL",123.76770544797182,1001.0,10,0.12364406138658524
"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",319.9042496457696,2585.0,14,0.12375406175851822
"Grand Rapids, MI","Punta Gorda, FL",139.0887928456068,1118.0,7,0.12440858036279678
"Seattle, WA","Tampa, FL (Metropolitan Area)",314.6434257924557,2520.0,14,0.12485850229859352
"Orlando, FL","Seattle, WA",319.4219060242176,2554.0,14,0.1250673085451126
